epoch, iteration, loss, train-acc, lr, time
8,230,1.984,47.891,0.0999993,6.82001996
8,240,2,44.922,0.0999993,6.79322004
8,250,1.971,48.984,0.0999993,6.80777597
8,260,1.972,49.141,0.0999993,6.81426096
8,270,1.984,47.812,0.0999993,6.80697083
8,280,1.985,48.125,0.0999993,6.82724309
8,290,1.974,48.828,0.0999993,6.81693578
8,300,1.976,48.984,0.0999993,6.81824589
8,310,1.974,48.516,0.0999993,6.79588604
8,320,1.959,50.391,0.0999993,6.79797387
8,330,1.985,47.5,0.0999993,6.79878902
8,340,1.961,50.312,0.0999993,6.77427316
8,350,1.965,50.312,0.0999993,6.79753399
8,360,1.975,48.281,0.0999993,6.81418514
8,370,1.961,50.391,0.0999993,6.78989601
8,380,1.966,50,0.0999993,6.80908704
8,390,1.976,47.812,0.0999993,6.7977519
9,10,1.959,50.234,0.0999992,7.48620892
9,20,1.967,49.531,0.0999992,6.80187106
9,30,1.959,50.312,0.0999992,6.78470182
9,40,1.971,48.594,0.0999992,6.79971504
9,50,1.945,51.719,0.0999992,6.81530404
9,60,1.96,50.234,0.0999992,6.79565597
9,70,1.945,51.641,0.0999992,6.79433298
9,80,1.949,51.172,0.0999992,6.79686809
9,90,1.982,47.5,0.0999992,6.7957201
9,100,1.946,51.719,0.0999992,6.80680799
9,110,1.948,51.797,0.0999992,6.80639505
9,120,1.952,51.328,0.0999992,6.82015705
9,130,1.956,50.859,0.0999992,6.79035902
9,140,1.934,52.344,0.0999992,6.82081604
9,150,1.981,47.188,0.0999992,6.82370305
9,160,1.968,49.844,0.0999992,6.79324913
9,170,1.952,50.781,0.0999992,6.79335403
9,180,1.953,50.781,0.0999992,6.81392097
9,190,1.952,51.172,0.0999992,6.81595182
9,200,1.937,51.875,0.0999992,6.84401488
9,210,1.971,48.281,0.0999992,6.81944013
9,220,1.974,48.281,0.0999992,6.81204391
9,230,1.937,53.203,0.0999992,6.80955601
9,240,1.948,51.562,0.0999992,6.78650093
9,250,1.951,51.562,0.0999992,6.81395316
9,260,1.922,54.531,0.0999992,6.81219196
9,270,1.932,53.125,0.0999992,6.82110906
9,280,1.967,49.062,0.0999992,6.82507706
9,290,1.943,51.953,0.0999992,6.80988216
9,300,1.966,49.375,0.0999992,6.79090214
9,310,1.953,51.016,0.0999992,6.78121209
9,320,1.931,53.281,0.0999992,6.80902886
9,330,1.936,52.969,0.0999992,6.8204968
9,340,1.946,50.938,0.0999992,6.80736899
9,350,1.936,52.266,0.0999992,6.79941392
9,360,1.957,50.156,0.0999992,6.80949593
9,370,1.934,52.969,0.0999992,6.82178497
9,380,1.942,51.719,0.0999992,6.81370616
9,390,1.946,50.703,0.0999992,6.79192591
10,10,1.897,57.188,0.0999991,7.49239302
10,20,1.923,53.438,0.0999991,6.80656791
10,30,1.918,54.453,0.0999991,6.79509592
10,40,1.924,54.062,0.0999991,6.79306984
10,50,1.936,52.734,0.0999991,6.81868911
10,60,1.92,53.906,0.0999991,6.80272794
10,70,1.944,51.875,0.0999991,6.80342507
10,80,1.926,53.203,0.0999991,6.79430699
10,90,1.927,53.359,0.0999991,6.79923391
10,100,1.931,53.438,0.0999991,6.80888319
10,110,1.949,50.703,0.0999991,6.80414915
10,120,1.941,52.188,0.0999991,6.80257201
10,130,1.916,55,0.0999991,6.78692198
10,140,1.931,52.266,0.0999991,6.81085014
10,150,1.919,54.141,0.0999991,6.80276799
10,160,1.925,54.062,0.0999991,6.80520797
10,170,1.917,54.375,0.0999991,6.821702
10,180,1.919,54.922,0.0999991,6.79838109
10,190,1.893,57.109,0.0999991,6.79914403
10,200,1.937,52.578,0.0999991,6.79800797
10,210,1.928,53.203,0.0999991,6.79876709
10,220,1.918,54.609,0.0999991,6.79727101
10,230,1.92,53.828,0.0999991,6.80770493
10,240,1.923,53.438,0.0999991,6.83225203
10,250,1.919,54.609,0.0999991,6.8345778
10,260,1.918,54.297,0.0999991,6.80363989
10,270,1.915,54.766,0.0999991,6.82120204
10,280,1.92,54.531,0.0999991,6.81076598
10,290,1.926,53.359,0.0999991,6.80157995
10,300,1.931,53.359,0.0999991,6.80072808
10,310,1.922,53.906,0.0999991,6.82384491
10,320,1.903,55.234,0.0999991,6.80716801
10,330,1.909,55.391,0.0999991,6.82593799
10,340,1.903,56.641,0.0999991,6.81600714
10,350,1.896,56.484,0.0999991,6.81149006
10,360,1.907,55.156,0.0999991,6.82131004
10,370,1.932,52.656,0.0999991,6.80202198
10,380,1.883,58.203,0.0999991,6.81393194
10,390,1.911,54.844,0.0999991,6.8031559
11,10,1.895,56.875,0.099999,7.49388099
11,20,1.9,56.406,0.099999,6.82372093
11,30,1.911,55,0.099999,6.80227804
11,40,1.87,59.688,0.099999,6.82197309
11,50,1.889,57.5,0.099999,6.80639195
11,60,1.919,54.609,0.099999,6.81726193
11,70,1.901,55.703,0.099999,6.80612993
11,80,1.91,54.219,0.099999,6.81141019
11,90,1.896,56.797,0.099999,6.80141687
11,100,1.891,57.031,0.099999,6.83998585
11,110,1.876,59.766,0.099999,6.79478908
11,120,1.896,57.422,0.099999,6.83044291
11,130,1.905,55.234,0.099999,6.81900096
11,140,1.885,57.891,0.099999,6.80239105
11,150,1.909,55.547,0.099999,6.81242394
11,160,1.913,54.297,0.099999,6.82740712
11,170,1.902,56.484,0.099999,6.81046104
11,180,1.873,59.062,0.099999,6.82853079
11,190,1.873,59.609,0.099999,6.83562899
11,200,1.893,57.188,0.099999,6.83213496
11,210,1.883,57.656,0.099999,6.78825593
11,220,1.877,58.594,0.099999,6.83835697
11,230,1.894,57.188,0.099999,6.84316087
11,240,1.898,56.328,0.099999,6.78990006
11,250,1.894,56.797,0.099999,6.82557416
11,260,1.879,58.594,0.099999,6.80961585
11,270,1.865,60,0.099999,6.8040309
11,280,1.876,58.125,0.099999,6.82392311
11,290,1.894,56.719,0.099999,6.8358438
11,300,1.881,57.344,0.099999,6.81454992
11,310,1.89,57.734,0.099999,6.81480503
11,320,1.888,57.812,0.099999,6.81623793
11,330,1.873,58.75,0.099999,6.78488398
11,340,1.878,58.594,0.099999,6.80271816
11,350,1.886,57.344,0.099999,6.80967188
11,360,1.881,57.5,0.099999,6.82035613
11,370,1.858,60.391,0.099999,6.81383204
11,380,1.912,55,0.099999,6.82201791
11,390,1.904,55,0.099999,6.79155684
12,10,1.868,59.766,0.0999989,7.48401499
12,20,1.859,59.531,0.0999989,6.80156398
12,30,1.871,59.844,0.0999989,6.80211902
12,40,1.852,61.016,0.0999989,6.79636502
12,50,1.857,60.781,0.0999989,6.79443598
12,60,1.859,61.328,0.0999989,6.80983996
12,70,1.882,57.344,0.0999989,6.78072596
12,80,1.891,56.875,0.0999989,6.79588604
12,90,1.863,60.156,0.0999989,6.79875779
12,100,1.891,57.344,0.0999989,6.80178308
12,110,1.894,57.266,0.0999989,6.82081294
12,120,1.885,58.047,0.0999989,6.79590893
12,130,1.875,58.672,0.0999989,6.80620718
12,140,1.877,58.828,0.0999989,6.78085804
12,150,1.873,58.359,0.0999989,6.80686998
12,160,1.894,56.172,0.0999989,6.82382798
12,170,1.891,57.891,0.0999989,6.81114507
12,180,1.858,60.312,0.0999989,6.78782201
12,190,1.864,60.703,0.0999989,6.80669403
12,200,1.869,59.453,0.0999989,6.81620193
12,210,1.877,57.812,0.0999989,6.80564594
12,220,1.881,57.969,0.0999989,6.80580902
12,230,1.903,54.766,0.0999989,6.80291295
12,240,1.883,58.125,0.0999989,6.81461596
12,250,1.876,58.672,0.0999989,6.77621007
12,260,1.86,60.391,0.0999989,6.81060004
12,270,1.867,59.766,0.0999989,6.79740691
12,280,1.868,58.906,0.0999989,6.8074801
12,290,1.89,57.422,0.0999989,6.80134487
12,300,1.874,58.672,0.0999989,6.77928901
12,310,1.859,60.391,0.0999989,6.80359817
12,320,1.85,61.484,0.0999989,6.81465197
12,330,1.841,63.281,0.0999989,6.80378699
12,340,1.863,60,0.0999989,6.80928588
12,350,1.846,61.953,0.0999989,6.79388905
12,360,1.845,62.578,0.0999989,6.79907823
12,370,1.867,59.297,0.0999989,6.7995398
12,380,1.853,61.016,0.0999989,6.79982615
12,390,1.847,61.25,0.0999989,6.78054905
13,10,1.861,59.844,0.0999988,7.48744202
13,20,1.835,62.656,0.0999988,6.81868505
13,30,1.848,61.719,0.0999988,6.78695512
13,40,1.822,64.141,0.0999988,6.81339002
13,50,1.84,62.656,0.0999988,6.7981739
13,60,1.843,62.031,0.0999988,6.78087401
13,70,1.881,58.359,0.0999988,6.80593991
13,80,1.857,60.703,0.0999988,6.7983768
13,90,1.83,62.891,0.0999988,6.81083894
13,100,1.851,61.172,0.0999988,6.79590201
13,110,1.846,62.344,0.0999988,6.76614904
13,120,1.865,60.156,0.0999988,6.78800511
13,130,1.843,62.422,0.0999988,6.804842
13,140,1.843,62.109,0.0999988,6.80629897
13,150,1.842,62.5,0.0999988,6.81760192
13,160,1.826,63.672,0.0999988,6.79316616
13,170,1.847,61.328,0.0999988,6.83214211
13,180,1.864,60.078,0.0999988,6.80679989
13,190,1.864,60.078,0.0999988,6.80983782
13,200,1.821,63.594,0.0999988,6.812361
13,210,1.827,63.906,0.0999988,6.80257106
13,220,1.841,62.188,0.0999988,6.82840705
13,230,1.861,60.625,0.0999988,6.81581211
13,240,1.841,62.5,0.0999988,6.81422901
13,250,1.833,63.203,0.0999988,6.79675508
13,260,1.837,62.656,0.0999988,6.82468104
13,270,1.848,62.812,0.0999988,6.83135796
13,280,1.827,63.75,0.0999988,6.79393411
13,290,1.821,64.141,0.0999988,6.81740189
13,300,1.844,61.25,0.0999988,6.81523418
13,310,1.862,60.234,0.0999988,6.80722594
13,320,1.848,60.781,0.0999988,6.80922294
13,330,1.871,59.219,0.0999988,6.78706908
13,340,1.856,60.781,0.0999988,6.78659105
13,350,1.842,62.812,0.0999988,6.80797601
13,360,1.854,60.547,0.0999988,6.80540895
13,370,1.853,60.625,0.0999988,6.79482698
13,380,1.852,61.094,0.0999988,6.7772491
13,390,1.825,63.75,0.0999988,6.78445196
14,10,1.823,64.141,0.0999987,7.44652796
14,20,1.835,63.359,0.0999987,6.7966671
14,30,1.821,64.766,0.0999987,6.80623603
14,40,1.81,65.859,0.0999987,6.80631304
14,50,1.825,63.828,0.0999987,6.79937077
14,60,1.847,61.406,0.0999987,6.81164002
14,70,1.828,63.203,0.0999987,6.81640911
14,80,1.848,61.953,0.0999987,6.80964112
14,90,1.837,62.266,0.0999987,6.81013608
14,100,1.85,61.25,0.0999987,6.79599786
14,110,1.835,62.188,0.0999987,6.78882194
14,120,1.84,62.812,0.0999987,6.79223895
14,130,1.828,63.359,0.0999987,6.81125498
14,140,1.803,66.016,0.0999987,6.80653596
14,150,1.843,62.266,0.0999987,6.81104708
14,160,1.829,63.125,0.0999987,6.81546402
14,170,1.814,65,0.0999987,6.81897807
14,180,1.825,63.906,0.0999987,6.80984616
14,190,1.816,65,0.0999987,6.80840206
14,200,1.843,61.641,0.0999987,6.81449604
14,210,1.84,63.047,0.0999987,6.8338418
14,220,1.835,62.656,0.0999987,6.79154992
14,230,1.831,62.969,0.0999987,6.81697488
14,240,1.841,62.734,0.0999987,6.80363703
14,250,1.814,65.391,0.0999987,6.79720688
14,260,1.821,63.828,0.0999987,6.8165369
14,270,1.832,62.891,0.0999987,6.805722
14,280,1.834,62.5,0.0999987,6.82096815
14,290,1.818,64.062,0.0999987,6.82876706
14,300,1.809,65.625,0.0999987,6.79144382
14,310,1.836,62.656,0.0999987,6.82060695
14,320,1.831,63.438,0.0999987,6.80640006
14,330,1.792,67.891,0.0999987,6.81722808
14,340,1.837,62.578,0.0999987,6.81376505
